entity_id,canonical_name,tradition,category,primary_domains
ENT_CAN_ANAT,Anat,Canaanite/Ugaritic,War Deity,war; fertility; protection
ENT_CAN_ASTARTE,Astarte,Canaanite/Ugaritic,War Deity,love; fertility; sexuality; sovereignty
ENT_CAN_ASHERAH,Athirat/Asherah,Canaanite/Ugaritic,Fertility Deity,motherhood; sea; fertility; divine consort
ENT_CAN_BAAL,Baal Hadad,Canaanite/Ugaritic,Storm Deity,storm; rain; fertility; kingship
ENT_CAN_YARIKH,Yarikh,Canaanite/Ugaritic,Moon Deity,moon; cycles; fertility
ENT_CEL_CERNUNNOS,Cernunnos,Celtic/Gaulish,Animal Deity,horns; animals; wild nature; wealth; liminality
ENT_CEL_NANTOSUELTA,Nantosuelta,Celtic/Gaulish,Household Deity,household; prosperity; fertility; land
ENT_CEL_SUCELLUS,Sucellus,Celtic/Gaulish,Craft Deity,hammer; abundance; protection; agriculture
ENT_CEL_EPONA,Epona,Celtic/Gaulish/Roman,Animal Deity,horses; protection; fertility; travel
ENT_CEL_BRIGID,Brigid,Celtic/Irish,Craft Deity,poetry; smithcraft; healing; fire; fertility
ENT_AGRICULTURE,Agriculture,Cross-traditional,Abstraction,agriculture; cultivation; crops; farming
ENT_CRAFT,Craft,Cross-traditional,Abstraction,craft; artisanship; making; skilled work; material formation
ENT_EARTH,Earth,Cross-traditional,Abstraction,earth; land; ground; material world
ENT_FERTILITY,Fertility,Cross-traditional,Abstraction,fertility; generation; reproduction; growth
ENT_FIRE,Fire,Cross-traditional,Abstraction,fire; flame; hearth; forge; purification
ENT_PROSPERITY,Prosperity,Cross-traditional,Abstraction,prosperity; household abundance; flourishing; good fortune
ENT_WEALTH,Wealth,Cross-traditional,Abstraction,wealth; property; treasure; possessions
ENT_EGY_AKER,Aker,Egyptian,Earth Deity,earth; horizon; underworld; protection
ENT_EGY_ANUKET,Anuket,Egyptian,Nile Deity,Nile; cataracts; fertility; nourishment
ENT_EGY_BANEBDJEDET,Banebdjedet,Egyptian,Fertility Deity,fertility; virility; ba; Mendes
