entity_id,canonical_name,greek_name,tradition,entity_type,category,primary_domains,tags,cult_scope,primary_period,evidence_confidence,review_status,inclusion_basis,earth_association_score,chthonic_flag,serpent_flag,short_note
ENT_CHAOS,Chaos,,Greek,Protogenos/Primordial,Primordial powers,primordial void,protogenos;cosmogony,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_GAIA,Gaia,,Greek,Protogenos/Primordial,Primordial powers,earth; generation,protogenos;earth,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_URANUS,Uranus,,Greek,Protogenos/Primordial,Primordial powers,sky; cosmic order,protogenos;sky,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_PONTUS,Pontus,,Greek,Protogenos/Primordial,Primordial powers,sea,protogenos;sea,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_TARTARUS,Tartarus,,Greek,Protogenos/Primordial,Primordial powers,abyss; underworld,protogenos;underworld,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_EREBUS,Erebus,,Greek,Protogenos/Primordial,Primordial powers,darkness; underworld gloom,protogenos;darkness,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,3,TRUE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_NYX,Nyx,,Greek,Protogenos/Primordial,Primordial powers,night,protogenos;night,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,2,TRUE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_HEMERA,Hemera,,Greek,Protogenos/Primordial,Primordial powers,day,protogenos;day,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_AETHER,Aether,,Greek,Protogenos/Primordial,Primordial powers,upper air,protogenos;air,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_EROS_PRIMORDIAL,Eros Primordial,,Greek,Protogenos/Primordial,Primordial powers,cosmic attraction; generation,protogenos;creation,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_ANANKE,Ananke,,Greek,Protogenos/Primordial,Primordial powers,necessity; fate,protogenos;fate,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_CHRONOS,Chronos,,Greek,Protogenos/Primordial,Primordial powers,time,protogenos;time,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_PHANES,Phanes,,Greek,Protogenos/Primordial,Primordial powers,creation; revelation,orphic;protogenos,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_THESIS,Thesis,,Greek,Protogenos/Primordial,Primordial powers,creation; generation,orphic;protogenos,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
